P (MPa)	T (°C)	V (m3/kg)	U (kJ/kg)	H (kJ/kg)	S [kJ/(kg K)]	Phase	Rho (kg/m^3)
2.2	90	0.001035	376.4	378.7	1.191	liquid	966.1835749
2.5	90	0.001035	376.3	378.9	1.191	liquid	966.1835749
3	90	0.001035	376.2	379.3	1.191	liquid	966.1835749
9	95	0.001035	395.6	404.9	1.244	liquid	966.1835749
10	95	0.001035	395.3	405.7	1.243	liquid	966.1835749
17	100	0.001035	414.3	431.9	1.294	liquid	966.1835749
18	100	0.001035	414	432.7	1.294	liquid	966.1835749
25	105	0.001035	432.9	458.8	1.344	liquid	966.1835749
0.07	89.93	0.001036	376.7	376.8	1.192	saturated liquid	965.2509653
0.08	90	0.001036	377	377.1	1.193	liquid	965.2509653
0.09	90	0.001036	377	377.1	1.193	liquid	965.2509653
0.1	90	0.001036	377	377.1	1.193	liquid	965.2509653
0.11	90	0.001036	377	377.1	1.193	liquid	965.2509653
0.12	90	0.001036	377	377.1	1.193	liquid	965.2509653
0.13	90	0.001036	377	377.1	1.193	liquid	965.2509653
0.14	90	0.001036	376.9	377.1	1.193	liquid	965.2509653
0.15	90	0.001036	376.9	377.1	1.193	liquid	965.2509653
0.16	90	0.001036	376.9	377.1	1.193	liquid	965.2509653
0.18	90	0.001036	376.9	377.1	1.193	liquid	965.2509653
0.2	90	0.001036	376.9	377.1	1.193	liquid	965.2509653
0.22	90	0.001036	376.9	377.2	1.193	liquid	965.2509653
0.24	90	0.001036	376.9	377.2	1.193	liquid	965.2509653
0.26	90	0.001036	376.9	377.2	1.193	liquid	965.2509653
0.28	90	0.001036	376.9	377.2	1.193	liquid	965.2509653
0.3	90	0.001036	376.9	377.2	1.193	liquid	965.2509653
0.35	90	0.001036	376.9	377.3	1.193	liquid	965.2509653
0.4	90	0.001036	376.9	377.3	1.193	liquid	965.2509653
0.45	90	0.001036	376.9	377.3	1.193	liquid	965.2509653
0.5	90	0.001036	376.9	377.4	1.193	liquid	965.2509653
0.55	90	0.001036	376.8	377.4	1.193	liquid	965.2509653
0.6	90	0.001036	376.8	377.5	1.193	liquid	965.2509653
0.65	90	0.001036	376.8	377.5	1.192	liquid	965.2509653
0.7	90	0.001036	376.8	377.5	1.192	liquid	965.2509653
0.75	90	0.001036	376.8	377.6	1.192	liquid	965.2509653
0.8	90	0.001036	376.8	377.6	1.192	liquid	965.2509653
0.9	90	0.001036	376.7	377.7	1.192	liquid	965.2509653
1	90	0.001036	376.7	377.8	1.192	liquid	965.2509653
6.5	95	0.001036	396.3	403	1.246	liquid	965.2509653
7	95	0.001036	396.1	403.4	1.245	liquid	965.2509653
7.5	95	0.001036	396	403.8	1.245	liquid	965.2509653
8	95	0.001036	395.8	404.1	1.245	liquid	965.2509653
15	100	0.001036	414.8	430.4	1.296	liquid	965.2509653
16	100	0.001036	414.6	431.1	1.295	liquid	965.2509653
22	105	0.001036	433.7	456.5	1.346	liquid	965.2509653
4.5	95	0.001037	396.8	401.5	1.247	liquid	964.3201543
5	95	0.001037	396.7	401.8	1.247	liquid	964.3201543
5.5	95	0.001037	396.5	402.2	1.246	liquid	964.3201543
6	95	0.001037	396.4	402.6	1.246	liquid	964.3201543
13	100	0.001037	415.4	428.9	1.297	liquid	964.3201543
14	100	0.001037	415.1	429.6	1.297	liquid	964.3201543
20	105	0.001037	434.3	455	1.348	liquid	964.3201543
30	110	0.001037	452.2	483.3	1.395	liquid	964.3201543
2.5	95	0.001038	397.3	399.9	1.249	liquid	963.3911368
3	95	0.001038	397.2	400.3	1.248	liquid	963.3911368
3.5	95	0.001038	397.1	400.7	1.248	liquid	963.3911368
4	95	0.001038	396.9	401.1	1.248	liquid	963.3911368
10	100	0.001038	416.2	426.6	1.3	liquid	963.3911368
11	100	0.001038	416	427.4	1.299	liquid	963.3911368
12	100	0.001038	415.7	428.1	1.298	liquid	963.3911368
18	105	0.001038	434.9	453.6	1.349	liquid	963.3911368
19	105	0.001038	434.6	454.3	1.348	liquid	963.3911368
0.08	93.49	0.001039	391.6	391.7	1.233	saturated liquid	962.4639076
0.4	95	0.001039	397.9	398.3	1.25	liquid	962.4639076
0.45	95	0.001039	397.9	398.4	1.25	liquid	962.4639076
0.5	95	0.001039	397.9	398.4	1.25	liquid	962.4639076
0.55	95	0.001039	397.9	398.4	1.25	liquid	962.4639076
0.6	95	0.001039	397.9	398.5	1.25	liquid	962.4639076
0.65	95	0.001039	397.8	398.5	1.25	liquid	962.4639076
0.7	95	0.001039	397.8	398.6	1.25	liquid	962.4639076
0.75	95	0.001039	397.8	398.6	1.25	liquid	962.4639076
0.8	95	0.001039	397.8	398.6	1.25	liquid	962.4639076
0.9	95	0.001039	397.8	398.7	1.25	liquid	962.4639076
1	95	0.001039	397.8	398.8	1.25	liquid	962.4639076
1.1	95	0.001039	397.7	398.9	1.25	liquid	962.4639076
1.2	95	0.001039	397.7	398.9	1.25	liquid	962.4639076
1.3	95	0.001039	397.7	399	1.25	liquid	962.4639076
1.4	95	0.001039	397.6	399.1	1.249	liquid	962.4639076
1.5	95	0.001039	397.6	399.2	1.249	liquid	962.4639076
1.6	95	0.001039	397.6	399.2	1.249	liquid	962.4639076
1.8	95	0.001039	397.5	399.4	1.249	liquid	962.4639076
2	95	0.001039	397.5	399.6	1.249	liquid	962.4639076
2.2	95	0.001039	397.4	399.7	1.249	liquid	962.4639076
8	100	0.001039	416.8	425.1	1.301	liquid	962.4639076
9	100	0.001039	416.5	425.9	1.3	liquid	962.4639076
16	105	0.001039	435.4	452.1	1.351	liquid	962.4639076
17	105	0.001039	435.1	452.8	1.35	liquid	962.4639076
25	110	0.001039	453.7	479.6	1.399	liquid	962.4639076
0.09	95	0.00104	398	398.1	1.25	liquid	961.5384615
0.1	95	0.00104	398	398.1	1.25	liquid	961.5384615
0.11	95	0.00104	398	398.1	1.25	liquid	961.5384615
0.12	95	0.00104	398	398.1	1.25	liquid	961.5384615
0.13	95	0.00104	398	398.1	1.25	liquid	961.5384615
0.14	95	0.00104	398	398.1	1.25	liquid	961.5384615
0.15	95	0.00104	398	398.1	1.25	liquid	961.5384615
0.16	95	0.00104	398	398.2	1.25	liquid	961.5384615
0.18	95	0.00104	398	398.2	1.25	liquid	961.5384615
0.2	95	0.00104	398	398.2	1.25	liquid	961.5384615
0.22	95	0.00104	398	398.2	1.25	liquid	961.5384615
0.24	95	0.00104	398	398.2	1.25	liquid	961.5384615
0.26	95	0.00104	397.9	398.2	1.25	liquid	961.5384615
0.28	95	0.00104	397.9	398.2	1.25	liquid	961.5384615
0.3	95	0.00104	397.9	398.3	1.25	liquid	961.5384615
0.35	95	0.00104	397.9	398.3	1.25	liquid	961.5384615
6	100	0.00104	417.4	423.6	1.303	liquid	961.5384615
6.5	100	0.00104	417.2	424	1.302	liquid	961.5384615
7	100	0.00104	417.1	424.4	1.302	liquid	961.5384615
7.5	100	0.00104	416.9	424.7	1.302	liquid	961.5384615
14	105	0.00104	436	450.6	1.352	liquid	961.5384615
15	105	0.00104	435.7	451.3	1.352	liquid	961.5384615
22	110	0.00104	454.5	477.4	1.401	liquid	961.5384615
30	115	0.00104	472.9	504.1	1.449	liquid	961.5384615
0.09	96.69	0.001041	405.1	405.2	1.27	saturated liquid	960.6147935
4	100	0.001041	417.9	422.1	1.304	liquid	960.6147935
4.5	100	0.001041	417.8	422.5	1.304	liquid	960.6147935
5	100	0.001041	417.6	422.9	1.303	liquid	960.6147935
5.5	100	0.001041	417.5	423.2	1.303	liquid	960.6147935
12	105	0.001041	436.6	449.1	1.354	liquid	960.6147935
13	105	0.001041	436.3	449.8	1.353	liquid	960.6147935
20	110	0.001041	455.1	475.9	1.403	liquid	960.6147935
2	100	0.001042	418.5	420.6	1.306	liquid	959.6928983
2.2	100	0.001042	418.4	420.7	1.306	liquid	959.6928983
2.5	100	0.001042	418.4	421	1.305	liquid	959.6928983
3	100	0.001042	418.2	421.3	1.305	liquid	959.6928983
3.5	100	0.001042	418.1	421.7	1.305	liquid	959.6928983
10	105	0.001042	437.2	447.6	1.355	liquid	959.6928983
11	105	0.001042	436.9	448.3	1.355	liquid	959.6928983
18	110	0.001042	455.7	474.5	1.404	liquid	959.6928983
19	110	0.001042	455.4	475.2	1.403	liquid	959.6928983
0.1	99.61	0.001043	417.4	417.5	1.303	saturated liquid	958.7727709
0.11	100	0.001043	419.1	419.2	1.307	liquid	958.7727709
0.12	100	0.001043	419.1	419.2	1.307	liquid	958.7727709
0.13	100	0.001043	419.1	419.2	1.307	liquid	958.7727709
0.14	100	0.001043	419.1	419.2	1.307	liquid	958.7727709
0.15	100	0.001043	419	419.2	1.307	liquid	958.7727709
0.16	100	0.001043	419	419.2	1.307	liquid	958.7727709
0.18	100	0.001043	419	419.2	1.307	liquid	958.7727709
0.2	100	0.001043	419	419.2	1.307	liquid	958.7727709
0.22	100	0.001043	419	419.3	1.307	liquid	958.7727709
0.24	100	0.001043	419	419.3	1.307	liquid	958.7727709
0.26	100	0.001043	419	419.3	1.307	liquid	958.7727709
0.28	100	0.001043	419	419.3	1.307	liquid	958.7727709
0.3	100	0.001043	419	419.3	1.307	liquid	958.7727709
0.35	100	0.001043	419	419.4	1.307	liquid	958.7727709
0.4	100	0.001043	419	419.4	1.307	liquid	958.7727709
0.45	100	0.001043	419	419.4	1.307	liquid	958.7727709
0.5	100	0.001043	418.9	419.5	1.307	liquid	958.7727709
0.55	100	0.001043	418.9	419.5	1.307	liquid	958.7727709
0.6	100	0.001043	418.9	419.5	1.307	liquid	958.7727709
0.65	100	0.001043	418.9	419.6	1.307	liquid	958.7727709
0.7	100	0.001043	418.9	419.6	1.307	liquid	958.7727709
0.75	100	0.001043	418.9	419.7	1.307	liquid	958.7727709
0.8	100	0.001043	418.9	419.7	1.307	liquid	958.7727709
0.9	100	0.001043	418.8	419.8	1.307	liquid	958.7727709
1	100	0.001043	418.8	419.8	1.307	liquid	958.7727709
1.1	100	0.001043	418.8	419.9	1.306	liquid	958.7727709
1.2	100	0.001043	418.7	420	1.306	liquid	958.7727709
1.3	100	0.001043	418.7	420.1	1.306	liquid	958.7727709
1.4	100	0.001043	418.7	420.1	1.306	liquid	958.7727709
1.5	100	0.001043	418.7	420.2	1.306	liquid	958.7727709
1.6	100	0.001043	418.6	420.3	1.306	liquid	958.7727709
1.8	100	0.001043	418.6	420.4	1.306	liquid	958.7727709
8	105	0.001043	437.8	446.1	1.357	liquid	958.7727709
9	105	0.001043	437.5	446.9	1.356	liquid	958.7727709
16	110	0.001043	456.3	473	1.406	liquid	958.7727709
17	110	0.001043	456	473.7	1.405	liquid	958.7727709
25	115	0.001043	474.4	500.5	1.453	liquid	958.7727709
6	105	0.001044	438.4	444.6	1.359	liquid	957.8544061
6.5	105	0.001044	438.2	445	1.358	liquid	957.8544061
7	105	0.001044	438.1	445.4	1.358	liquid	957.8544061
7.5	105	0.001044	437.9	445.7	1.357	liquid	957.8544061
14	110	0.001044	456.9	471.5	1.407	liquid	957.8544061
15	110	0.001044	456.6	472.3	1.407	liquid	957.8544061
22	115	0.001044	475.4	498.3	1.455	liquid	957.8544061
0.11	102.3	0.001045	428.7	428.8	1.333	saturated liquid	956.937799
4	105	0.001045	439	443.2	1.36	liquid	956.937799
4.5	105	0.001045	438.8	443.5	1.36	liquid	956.937799
5	105	0.001045	438.7	443.9	1.359	liquid	956.937799
5.5	105	0.001045	438.5	444.3	1.359	liquid	956.937799
12	110	0.001045	457.5	470.1	1.409	liquid	956.937799
13	110	0.001045	457.2	470.8	1.408	liquid	956.937799
20	115	0.001045	476	496.9	1.457	liquid	956.937799
30	120	0.001045	493.7	525	1.502	liquid	956.937799
2	105	0.001046	439.6	441.7	1.362	liquid	956.0229446
2.2	105	0.001046	439.5	441.8	1.362	liquid	956.0229446
2.5	105	0.001046	439.4	442	1.361	liquid	956.0229446
3	105	0.001046	439.3	442.4	1.361	liquid	956.0229446
3.5	105	0.001046	439.1	442.8	1.361	liquid	956.0229446
10	110	0.001046	458.1	468.6	1.411	liquid	956.0229446
11	110	0.001046	457.8	469.3	1.41	liquid	956.0229446
18	115	0.001046	476.6	495.4	1.459	liquid	956.0229446
19	115	0.001046	476.3	496.2	1.458	liquid	956.0229446
0.12	104.8	0.001047	439.2	439.4	1.361	saturated liquid	955.1098376
0.13	105	0.001047	440.1	440.3	1.363	liquid	955.1098376
0.14	105	0.001047	440.1	440.3	1.363	liquid	955.1098376
0.15	105	0.001047	440.1	440.3	1.363	liquid	955.1098376
0.16	105	0.001047	440.1	440.3	1.363	liquid	955.1098376
0.18	105	0.001047	440.1	440.3	1.363	liquid	955.1098376
0.2	105	0.001047	440.1	440.3	1.363	liquid	955.1098376
0.22	105	0.001047	440.1	440.4	1.363	liquid	955.1098376
0.24	105	0.001047	440.1	440.4	1.363	liquid	955.1098376
0.26	105	0.001047	440.1	440.4	1.363	liquid	955.1098376
0.28	105	0.001047	440.1	440.4	1.363	liquid	955.1098376
0.3	105	0.001047	440.1	440.4	1.363	liquid	955.1098376
0.35	105	0.001047	440.1	440.4	1.363	liquid	955.1098376
0.4	105	0.001047	440.1	440.5	1.363	liquid	955.1098376
0.45	105	0.001047	440	440.5	1.363	liquid	955.1098376
0.5	105	0.001047	440	440.6	1.363	liquid	955.1098376
0.55	105	0.001047	440	440.6	1.363	liquid	955.1098376
0.6	105	0.001047	440	440.6	1.363	liquid	955.1098376
0.65	105	0.001047	440	440.7	1.363	liquid	955.1098376
0.7	105	0.001047	440	440.7	1.363	liquid	955.1098376
0.75	105	0.001047	440	440.7	1.363	liquid	955.1098376
0.8	105	0.001047	439.9	440.8	1.363	liquid	955.1098376
0.9	105	0.001047	439.9	440.9	1.363	liquid	955.1098376
1	105	0.001047	439.9	440.9	1.363	liquid	955.1098376
1.1	105	0.001047	439.8	441	1.363	liquid	955.1098376
1.2	105	0.001047	439.8	441.1	1.363	liquid	955.1098376
1.3	105	0.001047	439.8	441.2	1.362	liquid	955.1098376
1.4	105	0.001047	439.8	441.2	1.362	liquid	955.1098376
1.5	105	0.001047	439.7	441.3	1.362	liquid	955.1098376
1.6	105	0.001047	439.7	441.4	1.362	liquid	955.1098376
1.8	105	0.001047	439.6	441.5	1.362	liquid	955.1098376
8	110	0.001047	458.8	467.2	1.412	liquid	955.1098376
9	110	0.001047	458.5	467.9	1.411	liquid	955.1098376
16	115	0.001047	477.2	494	1.46	liquid	955.1098376
17	115	0.001047	476.9	494.7	1.459	liquid	955.1098376
25	120	0.001047	495.2	521.4	1.506	liquid	955.1098376
6	110	0.001048	459.4	465.7	1.414	liquid	954.1984733
6.5	110	0.001048	459.2	466.1	1.414	liquid	954.1984733
7	110	0.001048	459.1	466.4	1.413	liquid	954.1984733
7.5	110	0.001048	458.9	466.8	1.413	liquid	954.1984733
15	115	0.001048	477.5	493.3	1.461	liquid	954.1984733
0.13	107.1	0.001049	449.1	449.2	1.387	saturated liquid	953.2888465
4.5	110	0.001049	459.9	464.6	1.415	liquid	953.2888465
5	110	0.001049	459.7	465	1.415	liquid	953.2888465
5.5	110	0.001049	459.6	465.3	1.414	liquid	953.2888465
13	115	0.001049	478.2	491.8	1.463	liquid	953.2888465
14	115	0.001049	477.9	492.5	1.462	liquid	953.2888465
22	120	0.001049	496.2	519.3	1.509	liquid	953.2888465
30	125	0.001049	514.4	545.9	1.555	liquid	953.2888465
2.2	110	0.00105	460.6	462.9	1.417	liquid	952.3809524
2.5	110	0.00105	460.5	463.1	1.417	liquid	952.3809524
3	110	0.00105	460.3	463.5	1.416	liquid	952.3809524
3.5	110	0.00105	460.2	463.9	1.416	liquid	952.3809524
4	110	0.00105	460	464.2	1.416	liquid	952.3809524
11	115	0.00105	478.8	490.4	1.464	liquid	952.3809524
12	115	0.00105	478.5	491.1	1.464	liquid	952.3809524
19	120	0.00105	497.2	517.1	1.511	liquid	952.3809524
20	120	0.00105	496.8	517.8	1.511	liquid	952.3809524
0.14	109.3	0.001051	458.3	458.4	1.411	saturated liquid	951.4747859
0.35	110	0.001051	461.2	461.6	1.419	liquid	951.4747859
0.4	110	0.001051	461.2	461.6	1.419	liquid	951.4747859
0.45	110	0.001051	461.2	461.6	1.419	liquid	951.4747859
0.5	110	0.001051	461.1	461.7	1.419	liquid	951.4747859
0.55	110	0.001051	461.1	461.7	1.419	liquid	951.4747859
0.6	110	0.001051	461.1	461.8	1.418	liquid	951.4747859
0.65	110	0.001051	461.1	461.8	1.418	liquid	951.4747859
0.7	110	0.001051	461.1	461.8	1.418	liquid	951.4747859
0.75	110	0.001051	461.1	461.9	1.418	liquid	951.4747859
0.8	110	0.001051	461	461.9	1.418	liquid	951.4747859
0.9	110	0.001051	461	462	1.418	liquid	951.4747859
1	110	0.001051	461	462	1.418	liquid	951.4747859
1.1	110	0.001051	461	462.1	1.418	liquid	951.4747859
1.2	110	0.001051	460.9	462.2	1.418	liquid	951.4747859
1.3	110	0.001051	460.9	462.3	1.418	liquid	951.4747859
1.4	110	0.001051	460.9	462.3	1.418	liquid	951.4747859
1.5	110	0.001051	460.8	462.4	1.418	liquid	951.4747859
1.6	110	0.001051	460.8	462.5	1.418	liquid	951.4747859
1.8	110	0.001051	460.7	462.6	1.417	liquid	951.4747859
2	110	0.001051	460.7	462.8	1.417	liquid	951.4747859
9	115	0.001051	479.5	488.9	1.466	liquid	951.4747859
10	115	0.001051	479.1	489.7	1.465	liquid	951.4747859
17	120	0.001051	497.8	515.7	1.513	liquid	951.4747859
18	120	0.001051	497.5	516.4	1.512	liquid	951.4747859
25	125	0.001051	516.1	542.4	1.559	liquid	951.4747859
0.15	110	0.001052	461.3	461.4	1.419	liquid	950.5703422
0.16	110	0.001052	461.3	461.4	1.419	liquid	950.5703422
0.18	110	0.001052	461.3	461.4	1.419	liquid	950.5703422
0.2	110	0.001052	461.2	461.5	1.419	liquid	950.5703422
0.22	110	0.001052	461.2	461.5	1.419	liquid	950.5703422
0.24	110	0.001052	461.2	461.5	1.419	liquid	950.5703422
0.26	110	0.001052	461.2	461.5	1.419	liquid	950.5703422
0.28	110	0.001052	461.2	461.5	1.419	liquid	950.5703422
0.3	110	0.001052	461.2	461.5	1.419	liquid	950.5703422
6.5	115	0.001052	480.3	487.1	1.468	liquid	950.5703422
7	115	0.001052	480.1	487.5	1.468	liquid	950.5703422
7.5	115	0.001052	480	487.9	1.467	liquid	950.5703422
8	115	0.001052	479.8	488.2	1.467	liquid	950.5703422
15	120	0.001052	498.5	514.3	1.515	liquid	950.5703422
16	120	0.001052	498.2	515	1.514	liquid	950.5703422
0.15	111.3	0.001053	467	467.1	1.434	saturated liquid	949.6676163
5	115	0.001053	480.8	486.1	1.47	liquid	949.6676163
5.5	115	0.001053	480.6	486.4	1.469	liquid	949.6676163
6	115	0.001053	480.5	486.8	1.469	liquid	949.6676163
13	120	0.001053	499.2	512.9	1.517	liquid	949.6676163
14	120	0.001053	498.8	513.6	1.516	liquid	949.6676163
22	125	0.001053	517.1	540.2	1.562	liquid	949.6676163
30	130	0.001053	535.2	566.8	1.607	liquid	949.6676163
0.16	113.3	0.001054	475.2	475.4	1.455	saturated liquid	948.7666034
3	115	0.001054	481.5	484.6	1.471	liquid	948.7666034
3.5	115	0.001054	481.3	485	1.471	liquid	948.7666034
4	115	0.001054	481.1	485.3	1.47	liquid	948.7666034
4.5	115	0.001054	481	485.7	1.47	liquid	948.7666034
11	120	0.001054	499.8	511.4	1.518	liquid	948.7666034
12	120	0.001054	499.5	512.2	1.517	liquid	948.7666034
20	125	0.001054	517.8	538.8	1.564	liquid	948.7666034
0.9	115	0.001055	482.2	483.1	1.473	liquid	947.8672986
1	115	0.001055	482.1	483.2	1.473	liquid	947.8672986
1.1	115	0.001055	482.1	483.3	1.473	liquid	947.8672986
1.2	115	0.001055	482.1	483.3	1.473	liquid	947.8672986
1.3	115	0.001055	482	483.4	1.473	liquid	947.8672986
1.4	115	0.001055	482	483.5	1.473	liquid	947.8672986
1.5	115	0.001055	482	483.6	1.473	liquid	947.8672986
1.6	115	0.001055	481.9	483.6	1.472	liquid	947.8672986
1.8	115	0.001055	481.9	483.8	1.472	liquid	947.8672986
2	115	0.001055	481.8	483.9	1.472	liquid	947.8672986
2.2	115	0.001055	481.7	484.1	1.472	liquid	947.8672986
2.5	115	0.001055	481.6	484.3	1.472	liquid	947.8672986
9	120	0.001055	500.5	510	1.52	liquid	947.8672986
10	120	0.001055	500.2	510.7	1.519	liquid	947.8672986
18	125	0.001055	518.4	537.4	1.565	liquid	947.8672986
19	125	0.001055	518.1	538.1	1.564	liquid	947.8672986
0.18	115	0.001056	482.4	482.6	1.474	liquid	946.969697
0.2	115	0.001056	482.4	482.6	1.474	liquid	946.969697
0.22	115	0.001056	482.4	482.6	1.474	liquid	946.969697
0.24	115	0.001056	482.4	482.6	1.474	liquid	946.969697
0.26	115	0.001056	482.4	482.7	1.474	liquid	946.969697
0.28	115	0.001056	482.4	482.7	1.474	liquid	946.969697
0.3	115	0.001056	482.4	482.7	1.474	liquid	946.969697
0.35	115	0.001056	482.4	482.7	1.474	liquid	946.969697
0.4	115	0.001056	482.3	482.8	1.474	liquid	946.969697
0.45	115	0.001056	482.3	482.8	1.473	liquid	946.969697
0.5	115	0.001056	482.3	482.8	1.473	liquid	946.969697
0.55	115	0.001056	482.3	482.9	1.473	liquid	946.969697
0.6	115	0.001056	482.3	482.9	1.473	liquid	946.969697
0.65	115	0.001056	482.3	482.9	1.473	liquid	946.969697
0.7	115	0.001056	482.2	483	1.473	liquid	946.969697
0.75	115	0.001056	482.2	483	1.473	liquid	946.969697
0.8	115	0.001056	482.2	483	1.473	liquid	946.969697
7.5	120	0.001056	501	509	1.521	liquid	946.969697
8	120	0.001056	500.9	509.3	1.521	liquid	946.969697
16	125	0.001056	519.1	536	1.567	liquid	946.969697
17	125	0.001056	518.8	536.7	1.566	liquid	946.969697
25	130	0.001056	536.9	563.3	1.612	liquid	946.969697
5.5	120	0.001057	501.7	507.6	1.523	liquid	946.0737938
6	120	0.001057	501.6	507.9	1.523	liquid	946.0737938
6.5	120	0.001057	501.4	508.3	1.522	liquid	946.0737938
7	120	0.001057	501.2	508.6	1.522	liquid	946.0737938
14	125	0.001057	519.8	534.6	1.569	liquid	946.0737938
15	125	0.001057	519.5	535.3	1.568	liquid	946.0737938
22	130	0.001057	538	561.3	1.614	liquid	946.0737938
0.18	116.9	0.001058	490.5	490.7	1.495	saturated liquid	945.1795841
3.5	120	0.001058	502.4	506.1	1.525	liquid	945.1795841
4	120	0.001058	502.3	506.5	1.525	liquid	945.1795841
4.5	120	0.001058	502.1	506.8	1.524	liquid	945.1795841
5	120	0.001058	501.9	507.2	1.524	liquid	945.1795841
12	125	0.001058	520.5	533.2	1.571	liquid	945.1795841
13	125	0.001058	520.2	533.9	1.57	liquid	945.1795841
20	130	0.001058	538.7	559.9	1.616	liquid	945.1795841
30	135	0.001058	556	587.8	1.659	liquid	945.1795841
1.8	120	0.001059	503	504.9	1.527	liquid	944.2870633
2	120	0.001059	503	505.1	1.526	liquid	944.2870633
2.2	120	0.001059	502.9	505.2	1.526	liquid	944.2870633
2.5	120	0.001059	502.8	505.4	1.526	liquid	944.2870633
3	120	0.001059	502.6	505.8	1.525	liquid	944.2870633
10	125	0.001059	521.2	531.8	1.573	liquid	944.2870633
11	125	0.001059	520.9	532.5	1.572	liquid	944.2870633
19	130	0.001059	539.1	559.2	1.617	liquid	944.2870633
0.2	120	0.00106	503.6	503.8	1.528	liquid	943.3962264
0.22	120	0.00106	503.6	503.8	1.528	liquid	943.3962264
0.24	120	0.00106	503.6	503.8	1.528	liquid	943.3962264
0.26	120	0.00106	503.6	503.9	1.528	liquid	943.3962264
0.28	120	0.00106	503.6	503.9	1.528	liquid	943.3962264
0.3	120	0.00106	503.6	503.9	1.528	liquid	943.3962264
0.35	120	0.00106	503.5	503.9	1.528	liquid	943.3962264
0.4	120	0.00106	503.5	504	1.528	liquid	943.3962264
0.45	120	0.00106	503.5	504	1.528	liquid	943.3962264
0.5	120	0.00106	503.5	504	1.528	liquid	943.3962264
0.55	120	0.00106	503.5	504.1	1.528	liquid	943.3962264
0.6	120	0.00106	503.5	504.1	1.528	liquid	943.3962264
0.65	120	0.00106	503.4	504.1	1.528	liquid	943.3962264
0.7	120	0.00106	503.4	504.2	1.528	liquid	943.3962264
0.75	120	0.00106	503.4	504.2	1.527	liquid	943.3962264
0.8	120	0.00106	503.4	504.2	1.527	liquid	943.3962264
0.9	120	0.00106	503.3	504.3	1.527	liquid	943.3962264
1	120	0.00106	503.3	504.4	1.527	liquid	943.3962264
1.1	120	0.00106	503.3	504.5	1.527	liquid	943.3962264
1.2	120	0.00106	503.2	504.5	1.527	liquid	943.3962264
1.3	120	0.00106	503.2	504.6	1.527	liquid	943.3962264
1.4	120	0.00106	503.2	504.7	1.527	liquid	943.3962264
1.5	120	0.00106	503.1	504.7	1.527	liquid	943.3962264
1.6	120	0.00106	503.1	504.8	1.527	liquid	943.3962264
9	125	0.00106	521.6	531.2	1.573	liquid	943.3962264
17	130	0.00106	539.8	557.8	1.619	liquid	943.3962264
18	130	0.00106	539.4	558.5	1.618	liquid	943.3962264
25	135	0.00106	557.8	584.4	1.663	liquid	943.3962264
0.2	120.2	0.001061	504.5	504.7	1.53	saturated liquid	942.5070688
6.5	125	0.001061	522.5	529.4	1.576	liquid	942.5070688
7	125	0.001061	522.3	529.8	1.575	liquid	942.5070688
7.5	125	0.001061	522.2	530.1	1.575	liquid	942.5070688
8	125	0.001061	522	530.5	1.574	liquid	942.5070688
15	130	0.001061	540.5	556.4	1.621	liquid	942.5070688
16	130	0.001061	540.1	557.1	1.62	liquid	942.5070688
4.5	125	0.001062	523.2	528	1.578	liquid	941.6195857
5	125	0.001062	523.1	528.4	1.577	liquid	941.6195857
5.5	125	0.001062	522.9	528.7	1.577	liquid	941.6195857
6	125	0.001062	522.7	529.1	1.576	liquid	941.6195857
13	130	0.001062	541.2	555.1	1.623	liquid	941.6195857
14	130	0.001062	540.9	555.7	1.622	liquid	941.6195857
22	135	0.001062	558.9	582.3	1.666	liquid	941.6195857
30	140	0.001062	576.9	608.8	1.71	liquid	941.6195857
0.22	123.3	0.001063	517.4	517.6	1.563	saturated liquid	940.7337723
3	125	0.001063	523.8	527	1.579	liquid	940.7337723
3.5	125	0.001063	523.6	527.3	1.579	liquid	940.7337723
4	125	0.001063	523.4	527.7	1.578	liquid	940.7337723
11	130	0.001063	542	553.7	1.624	liquid	940.7337723
12	130	0.001063	541.6	554.4	1.623	liquid	940.7337723
20	135	0.001063	559.7	581	1.668	liquid	940.7337723
1	125	0.001064	524.5	525.6	1.581	liquid	939.8496241
1.1	125	0.001064	524.5	525.7	1.581	liquid	939.8496241
1.2	125	0.001064	524.5	525.7	1.581	liquid	939.8496241
1.3	125	0.001064	524.4	525.8	1.581	liquid	939.8496241
1.4	125	0.001064	524.4	525.9	1.581	liquid	939.8496241
1.5	125	0.001064	524.4	526	1.58	liquid	939.8496241
1.6	125	0.001064	524.3	526	1.58	liquid	939.8496241
1.8	125	0.001064	524.2	526.2	1.58	liquid	939.8496241
2	125	0.001064	524.2	526.3	1.58	liquid	939.8496241
2.2	125	0.001064	524.1	526.4	1.58	liquid	939.8496241
2.5	125	0.001064	524	526.6	1.579	liquid	939.8496241
10	130	0.001064	542.4	553	1.625	liquid	939.8496241
18	135	0.001064	560.4	579.6	1.67	liquid	939.8496241
19	135	0.001064	560.1	580.3	1.669	liquid	939.8496241
0.24	125	0.001065	524.8	525.1	1.582	liquid	938.9671362
0.26	125	0.001065	524.8	525.1	1.582	liquid	938.9671362
0.28	125	0.001065	524.8	525.1	1.582	liquid	938.9671362
0.3	125	0.001065	524.8	525.1	1.582	liquid	938.9671362
