P (MPa)	T (°C)	V (m3/kg)	U (kJ/kg)	H (kJ/kg)	S [kJ/(kg K)]	Phase	Rho (kg/m^3)
7	0	0.0009967	0.07317	7.05	0.00023	liquid	1003.310926
7	5	0.0009967	20.98	27.96	0.07607	liquid	1003.310926
7.5	10	0.0009968	41.82	49.3	0.1504	liquid	1003.210273
9	15	0.0009968	62.59	71.56	0.223	liquid	1003.210273
14	25	0.0009968	103.8	117.7	0.3635	liquid	1003.210273
6.5	0	0.0009969	0.06989	6.55	0.00021	liquid	1003.10964
6.5	5	0.0009969	20.98	27.46	0.07609	liquid	1003.10964
11	20	0.0009969	83.24	94.21	0.2941	liquid	1003.10964
7	10	0.000997	41.84	48.82	0.1504	liquid	1003.009027
17	30	0.000997	124.2	141.1	0.4315	liquid	1003.009027
30	45	0.0009971	184.6	214.5	0.6259	liquid	1002.908434
6	0	0.0009972	0.05692	6.04	0.00019	liquid	1002.807862
6	5	0.0009972	20.99	26.97	0.07611	liquid	1002.807862
13	25	0.0009972	103.8	116.8	0.3638	liquid	1002.807862
25	40	0.0009972	164.6	189.5	0.5627	liquid	1002.807862
6.5	10	0.0009973	41.86	48.34	0.1505	liquid	1002.70731
8	15	0.0009973	62.63	70.61	0.2232	liquid	1002.70731
10	20	0.0009973	83.31	93.28	0.2944	liquid	1002.70731
5.5	0	0.0009974	0.05413	5.54	0.00016	liquid	1002.606778
5.5	5	0.0009974	20.99	26.48	0.07612	liquid	1002.606778
16	30	0.0009974	124.3	140.2	0.4318	liquid	1002.606778
20	35	0.0009974	144.5	164.5	0.4981	liquid	1002.606778
6	10	0.0009975	41.87	47.85	0.1505	liquid	1002.506266
7.5	15	0.0009975	62.65	70.13	0.2233	liquid	1002.506266
5	5	0.0009976	20.99	25.98	0.07614	liquid	1002.405774
5	0	0.0009977	0.0416	5.03	0.00014	liquid	1002.305302
5.5	10	0.0009977	41.88	47.37	0.1506	liquid	1002.305302
7	15	0.0009977	62.68	69.66	0.2234	liquid	1002.305302
12	25	0.0009977	103.9	115.9	0.3641	liquid	1002.305302
9	20	0.0009978	83.37	92.35	0.2946	liquid	1002.204851
15	30	0.0009978	124.4	139.3	0.4321	liquid	1002.204851
19	35	0.0009978	144.7	163.6	0.4985	liquid	1002.204851
4.5	0	0.0009979	0.03932	4.53	0.00011	liquid	1002.104419
4.5	5	0.0009979	21	25.49	0.07615	liquid	1002.104419
6.5	15	0.0009979	62.69	69.18	0.2235	liquid	1002.104419
5	10	0.000998	41.89	46.88	0.1506	liquid	1002.004008
4	5	0.0009981	21	24.99	0.07617	liquid	1001.903617
11	25	0.0009981	104	115	0.3643	liquid	1001.903617
4	0	0.0009982	0.02724	4.02	0.00009	liquid	1001.803246
4.5	10	0.0009982	41.91	46.4	0.1507	liquid	1001.803246
6	15	0.0009982	62.72	68.71	0.2235	liquid	1001.803246
8	20	0.0009982	83.42	91.41	0.2948	liquid	1001.803246
18	35	0.0009982	144.8	162.7	0.4988	liquid	1001.803246
14	30	0.0009983	124.5	138.4	0.4324	liquid	1001.702895
3.5	0	0.0009984	0.01546	3.51	0.00006	liquid	1001.602564
3.5	5	0.0009984	21.01	24.5	0.07618	liquid	1001.602564
4	10	0.0009984	41.92	45.91	0.1507	liquid	1001.602564
5.5	15	0.0009984	62.74	68.23	0.2236	liquid	1001.602564
7.5	20	0.0009984	83.46	90.95	0.2949	liquid	1001.602564
22	40	0.0009984	164.9	186.9	0.5638	liquid	1001.602564
10	25	0.0009985	104.1	114.1	0.3646	liquid	1001.502253
3	5	0.0009986	21	24	0.07619	liquid	1001.401963
5	15	0.0009986	62.76	67.75	0.2237	liquid	1001.401963
17	35	0.0009986	144.9	161.8	0.4992	liquid	1001.401963
3	0	0.0009987	0.01393	3.01	0.00003	liquid	1001.301692
3.5	10	0.0009987	41.93	45.43	0.1508	liquid	1001.301692
7	20	0.0009987	83.49	90.48	0.295	liquid	1001.301692
13	30	0.0009987	124.5	137.5	0.4327	liquid	1001.301692
2.5	0	0.0009989	0.00265	2.5	0	liquid	1001.101211
2.5	5	0.0009989	21	23.5	0.07621	liquid	1001.101211
3	10	0.0009989	41.94	44.94	0.1508	liquid	1001.101211
